image,sample,genotype ,pollen_growth_temp,pollen_incubation_temp_c,rounds,pollen_image,treatment,tails,no_tails,total_pollen,pollen_germination,
329-ph-5-5-0002,ph5_004,QQ74,22,22,Round-2,11/7/20,5.5,59,47,106,55.66037736,
329-ph-5-5-0003,ph5_004,QQ74,22,22,Round-2,11/7/20,5.5,57,40,97,58.7628866,
329-ph-5-5-0004,ph5_004,QQ74,22,22,Round-2,11/7/20,5.5,66,25,91,72.52747253,
329-ph-5-5-0005,ph5_004,QQ74,22,22,Round-2,11/7/20,5.5,41,26,67,61.19402985,
329-ph-5-5-0006,ph5_005,QQ74,22,22,Round-2,11/7/20,5.5,45,22,67,67.1641791,
329-ph-5-5-0007,ph5_005,QQ74,22,22,Round-2,11/7/20,5.5,64,14,78,82.05128205,
329-ph-5-5-0008,ph5_005,QQ74,22,22,Round-2,11/7/20,5.5,52,30,82,63.41463415,
329-ph-5-5-0009,ph5_005,QQ74,22,22,Round-2,11/7/20,5.5,35,32,67,52.23880597,
329-ph-5-5-0010,ph5_005,QQ74,22,22,Round-2,11/7/20,5.5,54,29,83,65.06024096,
329-ph-5-5-0011,ph5_006,QQ74,22,22,Round-2,11/7/20,5.5,40,20,60,66.66666667,
329-ph-5-5-0012,ph5_006,QQ74,22,22,Round-2,11/7/20,5.5,31,14,45,68.88888889,
329-ph-5-5-0013,ph5_006,QQ74,22,22,Round-2,11/7/20,5.5,31,26,57,54.38596491,
329-ph-5-5-0014,ph5_006,QQ74,22,22,Round-2,11/7/20,5.5,50,44,94,53.19148936,
329-ph-5-5-0015,ph5_006,QQ74,22,22,Round-2,11/7/20,5.5,24,17,41,58.53658537,
cq329-ph5-5-p1-001.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,35,16,51,68.62745098,
cq329-ph5-5-p1-0002.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,43,9,52,82.69230769,
cq329-ph5-5-p1-0003.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,39,6,45,86.66666667,
cq329-ph5-5-p1-0004.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,26,3,29,89.65517241,
cq329-ph5-5-p1-0005.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,45,35,80,56.25,
cq329-ph5-5-p1-0006.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,39,13,52,75,
cq329-ph5-5-p1-0007.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,31,21,52,59.61538462,
cq329-ph5-5-p1-0008.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,46,9,55,83.63636364,
cq329-ph5-5-p1-0009.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,42,10,52,80.76923077,
cq329-ph5-5-p1-0010.jpg,ph5_007,QQ74,22,22,Round-3,11/25/20,5.5,57,16,73,78.08219178,
cq329-ph5-5-p2-001.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,58,15,73,79.45205479,
cq329-ph5-5-p2-0002.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,31,11,42,73.80952381,
cq329-ph5-5-p2-0003.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,49,12,61,80.32786885,
cq329-ph5-5-p2-0004.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,30,4,34,88.23529412,
cq329-ph5-5-p2-0005.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,47,12,59,79.66101695,
cq329-ph5-5-p2-0006.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,47,20,67,70.14925373,
cq329-ph5-5-p2-0007.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,47,15,62,75.80645161,
cq329-ph5-5-p2-0008.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,48,19,67,71.64179104,
cq329-ph5-5-p2-0009.jpg,ph5_008,QQ74,22,22,Round-3,11/25/20,5.5,25,24,49,51.02040816,
