image_name,sample,treatment,total_pollen,tails,no_tails,ph,pollen_treatment,incubation_temperature_°C,DAFA,germination_percent
cq329_24g_sucrose_fa6_9_p6_13_d5_0009.jpg,24_006,24,94,3,91,5.5,control,22,3,3.191489362
cq329_24g_sucrose_fa6_9_p6_13_d5_0010.jpg,24_006,24,48,4,44,5.5,control,22,3,8.333333333
cq329_24gsucrose_FA6_13_p6_17_d1_0001.jpg,24_007,24,62,5,57,5.5,control,22,3,8.064516129
cq329_24gsucrose_FA6_13_p6_17_d1_0002.jpg,24_007,24,111,7,104,5.5,control,22,3,6.306306306
cq329_24gsucrose_FA6_13_p6_17_d1_0003.jpg,24_007,24,58,4,54,5.5,control,22,3,6.896551724
cq329_24gsucrose_FA6_13_p6_17_d1_0004.jpg,24_007,24,89,4,85,5.5,control,22,3,4.494382022
cq329_24gsucrose_FA6_13_p6_17_d1_0005.jpg,24_007,24,30,5,25,5.5,control,22,3,16.66666667
cq329_24gsucrose_FA6_13_p6_17_d1_0006.jpg,24_007,24,100,9,91,5.5,control,22,3,9
cq329_24gsucrose_FA6_13_p6_17_d1_0007.jpg,24_007,24,179,2,177,5.5,control,22,3,1.117318436
cq329_24gsucrose_FA6_13_p6_17_d1_0008.jpg,24_007,24,91,1,90,5.5,control,22,3,1.098901099
cq329_24gsucrose_FA6_13_p6_17_d1_0009.jpg,24_007,24,89,2,87,5.5,control,22,3,2.247191011
